Classification,active_traders,total_volume,avg_volume,median_pnl,mean_pnl,avg_leverage,avg_win_rate,avg_long_short_ratio
Extreme Fear,32,114484261.44,715526.634,218.377399,4619.4390530625005,5.815003255464879,77.1534562999321,170000.18443629614
Extreme Greed,30,124465164.57,236625.78815589353,418.3198625,5161.9226438650185,5.597817378154607,86.78833037022972,257415.09175178068
Fear,32,483324789.79,767182.206015873,107.89253199999999,5328.818161336508,5.975482886672233,86.24876534696577,178254.21285803785
Greed,31,288582494.71999997,445343.35604938265,158.214922,3318.100729862654,6.055297731934504,84.60737078530539,188117.65328813996
Neutral,31,180242063.07999998,479367.18904255313,167.551743,3438.6188179521278,5.963024814884713,83.5721080495226,240957.69973384307
