Date,Account,daily_pnl,daily_volume,total_trades,winning_trades,losing_trades,long_trades,short_trades,avg_leverage,max_leverage,win_rate,long_short_ratio,Classification,Sentiment_Value
2024-01-06,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,135.58166400000002,298521.4,22,10,2,0,0,14.499545119038055,50.0,83.33333333333334,0.0,Greed,70
2024-01-07,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-835.681235,1048850.06,97,9,28,0,0,11.69243478429775,50.0,24.324324324324326,0.0,Greed,71
2024-01-08,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-269.874439,1522452.43,128,32,35,0,0,12.677665909852331,50.0,47.76119402985074,0.0,Greed,71
2024-01-09,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-826.349863,870051.97,70,18,10,0,0,13.335331361636,50.0,64.28571428571429,0.0,Extreme Greed,76
2024-01-10,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-1517.091342,2057479.48,193,41,42,0,0,11.620040245221954,50.0,49.39759036144578,0.0,Greed,73
2024-01-11,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,0.0,46133.87,2,0,0,0,0,25.32135610531041,48.93366130694434,,0.0,Extreme Greed,76
2024-01-11,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-164.08950099999998,259180.22999999998,19,5,4,0,0,15.163457890385175,42.65397583843811,55.55555555555556,0.0,Extreme Greed,76
2024-01-12,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-1925.519024,200082.27,7,0,2,0,0,29.586012248326462,50.0,0.0,0.0,Greed,71
2024-01-15,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,152.85358,629.86,9,9,0,0,0,1.0,1.0,100.0,0.0,Neutral,52
2024-01-15,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,50006.24,5,0,0,0,0,11.035828892267958,50.0,,0.0,Neutral,52
2024-01-16,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-3238.8,63482.08,6,0,2,0,0,11.614405020185847,33.43574458630577,0.0,0.0,Greed,64
2024-01-16,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,939.6285419999999,52945.25,3,3,0,0,0,17.779888695638935,50.0,100.0,0.0,Greed,64
2024-01-17,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,813.2741110000001,800831.03,53,11,8,0,0,15.392459224384973,50.0,57.89473684210527,0.0,Greed,60
2024-01-18,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,68.93319,424631.52999999997,46,3,6,0,0,8.26113894911205,50.0,33.33333333333333,0.0,Greed,63
2024-01-19,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,-0.20400000000000001,1526.81,9,1,3,0,0,1.0,1.0,25.0,0.0,Neutral,51
2024-01-19,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-385.215235,426902.16,39,5,18,0,0,11.352029970589394,50.0,21.73913043478261,0.0,Neutral,51
2024-01-20,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-146.57487000000003,1070090.51,106,15,17,0,0,9.96665258446695,50.0,46.875,0.0,Neutral,52
2024-01-21,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,266.58114600000005,103129.74,11,3,2,0,0,10.175388135748081,50.0,60.0,0.0,Greed,56
2024-01-22,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,1166.248788,54022.58,48,14,12,0,0,1.8274866288694922,7.964114201207585,53.84615384615385,0.0,Greed,55
2024-01-22,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,209.39217099999996,283856.41,37,9,6,0,0,7.371006484189431,50.0,60.0,0.0,Greed,55
2024-01-23,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-369.2447299999998,414518.93000000005,45,11,9,0,0,9.040089270646575,50.0,55.00000000000001,0.0,Neutral,50
2024-01-24,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-2808.353815,965084.59,68,10,30,0,0,15.266262527113046,50.0,25.0,0.0,Neutral,48
2024-01-25,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-3093.6293849999997,66566.13,6,0,6,0,0,12.25359489550816,22.627347009926556,0.0,0.0,Neutral,52
2024-01-26,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,90.2,9255.8,2,1,0,0,0,5.080202632892755,5.129710430974706,100.0,0.0,Neutral,49
2024-01-26,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,2517.41,3,0,0,0,0,1.255436234321981,1.7663087029659428,,0.0,Neutral,49
2024-01-28,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-2478.06972,18109.03,11,0,11,0,0,2.2041022594596598,5.3066212234112315,0.0,0.0,Neutral,54
2024-01-29,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,1.71544,2068.8599999999997,2,1,0,0,0,1.1355288596433053,1.1364729107818967,100.0,0.0,Greed,55
2024-01-29,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,484.847102,412139.32,72,44,0,0,0,6.464413199522983,50.0,100.0,0.0,Greed,55
2024-01-30,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-173.65419100000003,401011.38,49,5,14,0,0,9.218635953010564,50.0,26.31578947368421,0.0,Greed,61
2024-01-31,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-799.840817,6305647.13,859,231,205,0,0,8.261640062234505,50.0,52.981651376146786,0.0,Greed,60
2024-02-01,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,2008.18,6,0,0,0,0,1.0,1.0,,0.0,Greed,63
2024-02-02,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,456.423473,474278.43,42,13,8,0,0,12.441435270114347,50.0,61.904761904761905,0.0,Greed,63
2024-02-03,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,223.30918699999998,603820.0,56,6,6,0,0,11.786145154103949,50.0,50.0,0.0,Greed,60
2024-02-04,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,47.62389499999999,203187.53,35,9,19,0,0,6.734560796360132,45.36854000076396,32.142857142857146,0.0,Greed,60
2024-02-05,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-33.45419400000003,770198.26,72,14,18,0,0,11.713423391177068,50.0,43.75,0.0,Greed,60
2024-02-06,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-215.615907,8047153.41,1088,179,344,0,0,8.217966849608745,50.0,34.22562141491396,0.0,Greed,64
