Cohort,Classification,avg_daily_pnl,median_daily_pnl,avg_win_rate,avg_leverage,avg_long_short_ratio,avg_daily_volume
Bottom 10%,Extreme Fear,-5186.347129150001,539.855631,68.0608762805063,6.016586539587118,130000.00192307615,643494.486
Bottom 10%,Extreme Greed,801.5946734285712,0.0,70.06343911970046,6.233932776473411,191428.72480255243,38914.66228571429
Bottom 10%,Fear,3681.7594619062497,252.3559695,90.9048941217813,4.461420388562753,45312.49999999999,378244.17203124997
Bottom 10%,Greed,-11616.972675307692,0.0,69.07592760654614,4.528685663926367,17948.784294549132,366276.8846153847
Bottom 10%,Neutral,1094.1846011142854,0.0,69.11435431324423,4.512201019315064,0.0,282747.0731428572
Middle 80%,Extreme Fear,4350.646272352941,163.73415,77.63543249626657,6.106420212903665,162185.00396112486,635333.4247058823
Middle 80%,Extreme Greed,3754.8448468333336,544.1835515,88.70805268632672,5.462604988407401,231482.24504082094,244903.78381944445
Middle 80%,Fear,1959.7157176321352,93.006465,84.37359536091233,6.230719999454695,130867.12508851779,334546.8901691332
Middle 80%,Greed,3298.302354993927,230.14872200000002,88.12705303837963,5.81679163568306,172470.1139305449,217259.22872469635
Middle 80%,Neutral,1024.69996064539,224.273304,84.4416201077058,6.028333482652204,99291.11207496235,263669.2256737589
Top 10%,Extreme Fear,15481.442126809525,1058.58,83.76756066411238,3.971656416528673,252381.6190462857,1238556.8657142858
Top 10%,Extreme Greed,18051.22920798305,0.0,77.73609648609649,6.210490487131468,486440.7294188584,293300.2844067797
Top 10%,Fear,23597.605393978498,234.778463,95.10933595572504,5.719276924660429,510752.73046983796,3235231.007849463
Top 10%,Greed,8468.085599313044,112.946925,73.23155917371176,7.597557577156504,313043.4822742444,1451927.2802608695
Top 10%,Neutral,16367.098739135592,0.0,85.46749028604131,6.511529705300052,1061016.9744878917,1626969.3877966101
